,Tournament,League,Link,DateTime UTC,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Team,ID,Nationality,Country,Birthdate,Region,Short
2401,IWCI 2015,2015 IWCI,Rosey,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Kevy,,Australia,2000-11-22,PCS,CHF
2402,IWCI 2015,2015 IWCI,Rosey,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Kisee,,Australia,2003-03-07,PCS,CHF
2403,IWCI 2015,2015 IWCI,Rosey,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Mirin,,Australia,1995-12-17,PCS,CHF
2404,IWCI 2015,2015 IWCI,Rosey,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Raes,,New Zealand,1998-10-27,PCS,CHF
2405,IWCI 2015,2015 IWCI,Rosey,2015-04-22 17:00:00,29:42,Hard Random,Chiefs Esports Club,1,0,Hard Random,,,,,,,
2406,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,Aladoric,,Australia,1999-06-25,PCS,CHF
2407,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,Babip,,Australia,1998-09-04,PCS,CHF
2408,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,BioPanther,,Australia,1999-02-23,PCS,CHF
2409,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,Cupcake,,New Zealand,1994-12-10,PCS,CHF
2410,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,Jellal,,Australia,,PCS,CHF
2411,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,Kevy,,Australia,2000-11-22,PCS,CHF
2412,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,Kisee,,Australia,2003-03-07,PCS,CHF
2413,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,Mirin,,Australia,1995-12-17,PCS,CHF
2414,IWCI 2015,2015 IWCI,Rosey,2015-04-23 15:00:00,36:26,Chiefs Esports Club,DetonatioN FocusMe,1,0,Chiefs Esports Club,Chiefs Esports Club,Raes,,New Zealand,1998-10-27,PCS,CHF
2415,IWCI 2015,2015 IWCI,Rosey,2015-04-23 17:00:00,35:05,Bangkok Titans,Chiefs Esports Club,1,0,Bangkok Titans,,,,,,,
2416,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-21 15:00:00,30:17,Hard Random,DetonatioN FocusMe,1,0,Hard Random,,,,,,,
2417,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-21 19:00:00,45:10,Bangkok Titans,Hard Random,1,0,Bangkok Titans,,,,,,,
2418,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 14:00:00,38:38,Kaos Latin Gamers,Hard Random,1,0,Kaos Latin Gamers,,,,,,,
2419,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 17:00:00,29:42,Hard Random,Chiefs Esports Club,1,0,Hard Random,,,,,,,
2420,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 19:00:00,40:49,Beşiktaş Esports,Hard Random,0,1,Hard Random,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
2421,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 19:00:00,40:49,Beşiktaş Esports,Hard Random,0,1,Hard Random,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
2422,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 19:00:00,40:49,Beşiktaş Esports,Hard Random,0,1,Hard Random,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
2423,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 19:00:00,40:49,Beşiktaş Esports,Hard Random,0,1,Hard Random,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
2424,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 19:00:00,40:49,Beşiktaş Esports,Hard Random,0,1,Hard Random,Beşiktaş Esports,Lykia,,Turkey,,EMEA,BJK
2425,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 19:00:00,40:49,Beşiktaş Esports,Hard Random,0,1,Hard Random,Beşiktaş Esports,NuQ,,Turkey,2003-05-12,EMEA,BJK
2426,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 19:00:00,40:49,Beşiktaş Esports,Hard Random,0,1,Hard Random,Beşiktaş Esports,Zetsu,,Turkey,,EMEA,BJK
2427,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-22 21:00:00,37:03,Hard Random,INTZ,1,0,Hard Random,,,,,,,
2428,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 14:00:00,38:01,Hard Random,INTZ,0,1,INTZ,,,,,,,
2429,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 14:00:00,38:01,Hard Random,INTZ,0,1,INTZ,,,,,,,
2430,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 14:00:00,38:01,Hard Random,INTZ,0,1,INTZ,,,,,,,
2431,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 14:00:00,38:01,Hard Random,INTZ,0,1,INTZ,,,,,,,
2432,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
2433,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
2434,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
2435,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
2436,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
2437,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
2438,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
2439,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
2440,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
2441,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
2442,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
2443,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
2444,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
2445,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
2446,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
2447,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
2448,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
2449,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
2450,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
2451,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
2452,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
2453,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
2454,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
2455,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
2456,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
2457,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
2458,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
2459,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
2460,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
2461,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
2462,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
2463,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
2464,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
2465,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
2466,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
2467,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
2468,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
2469,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
2470,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
2471,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 15:00:00,24:06,INTZ,Hard Random,2,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
2472,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 16:00:00,32:03,Hard Random,INTZ,1,2,Hard Random,,,,,,,
2473,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 16:00:00,32:03,Hard Random,INTZ,1,2,Hard Random,,,,,,,
2474,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 16:00:00,32:03,Hard Random,INTZ,1,2,Hard Random,,,,,,,
2475,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 16:00:00,32:03,Hard Random,INTZ,1,2,Hard Random,,,,,,,
2476,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
2477,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
2478,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
2479,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
2480,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
2481,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
2482,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
2483,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
2484,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
2485,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
2486,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
2487,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
2488,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
2489,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
2490,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
2491,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
2492,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
2493,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
2494,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
2495,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
2496,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
2497,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
2498,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
2499,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
2500,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
2501,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
2502,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
2503,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
2504,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
2505,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
2506,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
2507,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
2508,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
2509,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
2510,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
2511,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
2512,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
2513,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
2514,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
2515,IWCI 2015,2015 IWCI,Smurf (Dmitri Ivanov),2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
2516,IWCI 2015,2015 IWCI,Spookz,2015-04-21 14:00:00,43:52,Kaos Latin Gamers,Chiefs Esports Club,0,1,Chiefs Esports Club,,,,,,,
2517,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,Aladoric,,Australia,1999-06-25,PCS,CHF
2518,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,Babip,,Australia,1998-09-04,PCS,CHF
2519,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,BioPanther,,Australia,1999-02-23,PCS,CHF
2520,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,Cupcake,,New Zealand,1994-12-10,PCS,CHF
2521,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,Jellal,,Australia,,PCS,CHF
2522,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,Kevy,,Australia,2000-11-22,PCS,CHF
2523,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,Kisee,,Australia,2003-03-07,PCS,CHF
2524,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,Mirin,,Australia,1995-12-17,PCS,CHF
2525,IWCI 2015,2015 IWCI,Spookz,2015-04-21 17:00:00,43:21,Chiefs Esports Club,INTZ,1,0,Chiefs Esports Club,Chiefs Esports Club,Raes,,New Zealand,1998-10-27,PCS,CHF
2526,IWCI 2015,2015 IWCI,Spookz,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Aladoric,,Australia,1999-06-25,PCS,CHF
2527,IWCI 2015,2015 IWCI,Spookz,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Babip,,Australia,1998-09-04,PCS,CHF
2528,IWCI 2015,2015 IWCI,Spookz,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,BioPanther,,Australia,1999-02-23,PCS,CHF
2529,IWCI 2015,2015 IWCI,Spookz,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Cupcake,,New Zealand,1994-12-10,PCS,CHF
2530,IWCI 2015,2015 IWCI,Spookz,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Jellal,,Australia,,PCS,CHF
2531,IWCI 2015,2015 IWCI,Spookz,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Kevy,,Australia,2000-11-22,PCS,CHF
2532,IWCI 2015,2015 IWCI,Spookz,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Kisee,,Australia,2003-03-07,PCS,CHF
2533,IWCI 2015,2015 IWCI,Spookz,2015-04-21 20:00:00,44:25,Chiefs Esports Club,Beşiktaş Esports,0,1,Beşiktaş Esports,Chiefs Esports Club,Mirin,,Australia,1995-12-17,PCS,CHF
